Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8	C9J5E5;C9JT62;C9JIZ1;C9JEJ8;A0A024R4E5;C9JHZ8;C9JHN6;C9JK79;C9JBS3;C9JES8;C9JZI8;C9JHS7	A0A024R4E5_HUMAN;C9J5E5_HUMAN;C9JBS3_HUMAN;C9JEJ8_HUMAN;C9JES8_HUMAN;C9JHN6_HUMAN;C9JHS7_HUMAN;C9JHZ8_HUMAN;C9JIZ1_HUMAN;C9JK79_HUMAN;C9JT62_HUMAN;C9JZI8_HUMAN	HDLBP	High density lipoprotein binding protein (Vigilin), isoform CRA_a	380503.0		609383.0		155999.0		169429.0	196505.0	595183.0	111595.0	334461.0	82923.7		236770.0	662304.0	832051.0			794752.0	
A0A024R6I7;A0A0G2JRN3	A0A0G2JRN3;A0A024R6I7	A0A024R6I7_HUMAN;A0A0G2JRN3_HUMAN	SERPINA1	Alpha-1-antitrypsin			4524910.0	7953070.0			6236010.0													
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B																				
A0A024RBG1;O95989;Q9NZJ9	Q8NFP7;O95989;Q9NZJ9;A0A024RBG1;Q96G61	NUD4B_HUMAN;NUDT3_HUMAN;NUDT4_HUMAN	NUDT3;NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B		838585.0	919948.0		1625540.0	1225840.0	1211040.0	1207340.0	927238.0			652755.0			1338730.0			1223320.0	1159750.0	
A0A024RBG1;Q9NZJ9	Q8NFP7;Q9NZJ9;A0A024RBG1;Q96G61;F8VRL4;A0A0C4DGJ4;F8VRR0	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B			1346170.0					710272.0							1452580.0	1424220.0		907826.0	656785.0	
A0A075B6H7	P01624;A0A0C4DH55;A0A075B6H7;A0A0C4DH90	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	2027400.0	23666500.0	1558870.0	7370810.0	9915510.0	8676680.0	3295180.0	7983430.0	5803570.0	3372760.0	2060940.0	5969560.0	2114020.0	12996600.0	1796950.0	5447590.0	11121100.0	9062460.0	3033990.0	8042930.0
A0A075B6H9	A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69																				
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61																		1089670.0		
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46																		160851.0		
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18																				
